# Output of 'KaSim' 'AMPA5_8020.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_Basal.ka' '-l' '5000' '-p' '1' '-o' 'most12.out' -seed 180519390
# "uuid" : "583392099"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23"
0.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,50,0,0,0,0,0,0,108,0,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,10,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50
1.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,49,0,1,1,0,0,0,108,0,0,0,0,13,0,56,0,18,0,29,15,0,0,0,10,0,9,0,12,8,0,0,0,0,30,4,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50
2.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,46,0,4,4,0,0,0,108,0,0,0,3,16,0,52,0,18,0,27,15,0,0,0,11,0,5,1,6,4,0,0,4,1,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50
3.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,45,0,5,5,0,0,0,108,0,0,0,1,11,0,57,0,24,0,32,19,0,0,0,8,0,4,1,11,3,0,0,3,1,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50
4.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,44,0,6,6,0,0,0,108,0,0,0,0,13,0,59,0,24,0,26,18,0,0,0,7,0,3,0,12,2,0,0,4,1,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50
5.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,43,0,7,7,1,0,0,108,1,1,1,2,12,0,56,0,25,0,25,24,0,0,0,7,1,3,0,9,0,0,0,4,0,30,1,1,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50
6.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,1,2,2,1,9,0,54,0,27,0,32,24,0,0,0,9,2,3,1,9,3,1,0,4,1,30,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50
7.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,0,3,3,2,12,1,51,0,23,0,29,19,0,0,0,12,1,4,1,11,2,1,0,3,0,30,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50
8.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,0,0,0,1,15,2,51,0,17,0,33,9,0,0,0,11,3,6,2,6,5,2,0,6,2,30,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50
9.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,0,1,1,2,16,3,51,0,18,0,35,15,0,0,0,11,2,3,1,4,1,1,0,11,0,30,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50
10.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,1,0,0,108,3,4,4,1,15,5,49,0,17,0,43,14,0,0,0,14,2,6,0,4,5,0,0,13,1,30,0,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50
11.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,0,2,2,2,14,8,46,0,17,0,30,16,0,0,0,15,3,5,3,5,4,2,0,9,3,30,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
12.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,3,0,0,108,3,6,6,1,12,8,49,0,18,0,30,14,0,0,0,12,4,8,1,5,6,1,1,13,3,30,0,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
13.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,1,0,0,108,1,4,4,2,8,8,46,0,22,0,29,17,0,0,0,13,5,6,1,8,5,1,0,9,5,30,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
14.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,4,9,9,4,8,18,44,0,21,0,30,18,0,0,0,10,8,3,4,3,3,4,0,11,1,30,1,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
15.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,0,5,5,2,9,19,44,0,19,0,29,15,0,0,0,13,7,2,3,4,1,3,0,13,4,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
16.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,0,0,0,108,4,8,8,2,8,19,49,0,13,0,30,8,0,0,0,9,6,2,4,3,1,2,1,12,1,30,1,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
17.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,2,7,7,3,7,19,53,0,20,0,37,14,0,0,0,5,5,4,2,4,1,2,0,9,1,30,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
18.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,1,0,0,108,2,6,6,1,7,32,56,0,22,0,25,18,0,0,0,5,4,1,2,3,0,2,0,10,2,30,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200,50
19.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,5,18,18,1,8,30,56,0,21,0,24,18,0,0,0,5,4,3,1,2,2,1,0,9,4,30,1,5,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,200,50
20.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,2,0,0,108,4,8,8,1,5,32,55,0,29,0,23,24,0,0,0,6,4,0,1,4,0,1,0,9,2,30,0,4,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,200,50
21.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,9,16,16,1,2,33,57,0,20,0,20,16,0,0,0,5,3,3,3,4,1,1,0,12,4,30,0,9,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,200,50
22.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,5,11,11,0,2,35,56,0,26,0,24,14,0,0,0,8,2,3,3,2,2,1,0,9,2,30,0,5,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,200,50
23.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,5,14,14,2,4,35,50,0,17,0,17,12,0,0,0,10,4,6,2,1,5,1,0,9,2,30,1,5,200,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,200,50
24.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,1,0,0,108,3,14,14,3,4,38,49,0,20,0,17,14,0,0,0,10,4,4,1,3,2,1,0,13,2,30,2,3,200,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,200,50
25.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,0,0,0,108,0,9,9,2,5,39,49,0,22,0,18,14,0,0,0,11,4,3,2,5,3,1,0,12,2,30,4,0,200,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,200,50
26.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,0,0,108,4,16,16,0,8,37,54,0,21,0,16,14,0,0,0,8,4,3,1,1,2,1,1,8,2,30,1,4,200,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,200,50
27.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,38,0,12,12,0,0,0,108,7,20,20,2,2,35,53,0,19,0,11,12,0,0,0,5,6,3,0,1,1,0,0,8,1,30,3,7,200,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,200,50
28.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,39,0,11,11,0,0,0,108,3,20,20,0,8,37,54,0,17,0,16,14,0,0,0,8,4,5,1,2,3,1,1,7,3,30,3,3,200,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,200,50
29.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,39,0,11,11,0,0,0,108,6,22,22,3,5,37,50,0,22,0,19,14,0,0,0,8,5,6,2,4,2,2,1,8,5,30,1,6,200,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,200,50
30.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,4,15,15,1,3,40,52,0,18,0,21,12,0,0,0,10,3,6,0,5,3,0,1,8,3,30,0,4,200,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,200,50
31.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,39,0,11,11,0,0,0,108,11,20,20,2,5,36,54,0,27,0,13,19,0,0,0,8,2,4,0,3,2,0,2,6,1,30,0,11,200,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,200,50
32.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,0,0,108,5,21,21,2,7,37,54,0,22,0,15,14,0,0,0,8,2,5,1,1,2,0,2,7,7,30,1,5,200,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,200,50
33.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,7,24,24,0,7,37,56,0,22,0,8,15,0,0,0,7,3,4,1,2,2,1,2,10,3,30,2,7,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,201,50
34.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,8,20,20,2,9,38,53,0,24,0,13,20,0,0,0,8,3,0,3,2,0,2,3,12,5,30,1,8,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,201,50
35.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,39,0,11,11,0,0,0,108,9,16,16,2,6,39,53,0,23,0,16,18,0,0,0,10,1,3,0,3,2,0,3,8,2,30,0,9,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,201,50
36.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,4,27,27,1,11,38,55,0,21,0,15,14,0,0,0,9,1,3,0,7,3,0,2,6,4,30,4,4,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,201,50
37.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,3,19,19,0,4,37,52,0,22,0,18,14,0,0,0,13,1,9,0,3,7,0,2,7,3,30,0,3,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
38.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,1,0,0,108,7,28,28,1,5,37,54,0,26,0,16,20,0,0,0,10,1,1,0,2,1,0,1,6,7,30,0,7,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
39.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,6,25,25,0,5,40,58,0,22,0,15,16,0,0,0,7,1,1,1,2,0,1,2,8,3,30,4,6,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
40.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,4,20,20,0,5,38,55,0,21,0,13,15,0,0,0,8,3,3,1,1,2,1,2,7,5,30,2,4,201,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
41.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,10,26,26,3,7,38,53,0,22,0,15,14,0,0,0,8,2,6,0,6,5,0,3,4,7,30,0,10,201,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,201,50
42.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,6,35,35,1,5,40,54,0,20,0,10,11,0,0,0,10,1,5,1,8,5,1,3,6,4,30,1,6,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,201,50
43.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,44,0,6,6,0,0,0,108,7,23,23,0,5,38,56,0,26,0,5,18,0,0,0,10,0,4,0,3,2,0,2,4,8,30,3,7,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,201,50
44.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,44,0,6,6,0,0,0,108,7,26,26,1,5,38,51,0,18,0,14,13,0,0,0,13,1,6,0,3,3,0,1,4,3,30,2,7,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,201,50
45.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,43,0,7,7,0,0,0,108,13,29,29,0,5,39,56,0,25,0,11,15,0,0,0,9,1,4,0,7,3,0,1,4,7,30,2,13,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,201,50
46.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,44,0,6,6,0,0,0,108,11,24,24,1,7,39,58,0,19,0,13,14,0,0,0,6,1,4,0,2,2,0,1,3,4,30,1,11,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,201,50
47.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,9,25,25,1,5,39,54,0,21,0,8,15,0,0,0,9,2,6,3,7,3,2,2,7,5,30,3,9,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,201,50
48.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,7,31,31,1,5,40,56,0,28,0,14,19,0,0,0,7,2,2,1,1,1,0,3,3,2,30,2,7,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,201,50
49.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,5,26,26,2,5,39,55,0,25,0,13,17,0,0,0,7,2,3,1,4,2,0,2,5,4,30,3,5,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,201,50
50.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,8,28,28,1,9,39,55,0,20,0,18,13,0,0,0,8,2,3,0,4,2,0,2,7,7,30,2,8,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,201,50
51.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,1,0,107,8,34,34,3,7,40,55,0,22,0,8,13,0,0,0,7,1,2,1,2,2,1,2,5,6,30,2,8,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,201,50
52.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,1,0,107,14,26,26,3,5,39,56,0,23,0,13,18,0,0,0,6,1,4,1,2,3,1,2,5,5,30,1,14,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,201,50
53.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,1,0,108,11,31,31,2,6,38,55,0,18,0,10,11,0,0,0,7,2,6,0,0,3,0,2,8,3,30,5,11,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,201,50
54.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,1,0,108,6,21,21,0,6,40,58,0,20,0,11,9,0,0,0,7,1,5,0,4,3,0,3,7,3,30,5,6,201,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,201,50
55.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,43,0,7,7,0,0,0,108,6,22,22,3,0,39,53,0,22,0,10,15,0,0,0,9,1,7,1,1,4,0,2,6,6,30,7,6,201,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,201,50
56.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,16,36,36,0,4,40,58,0,23,0,16,17,0,0,0,7,1,5,0,4,3,0,3,8,6,30,3,16,201,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,201,50
57.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,1,0,108,11,36,36,1,3,39,54,0,25,0,19,17,0,0,0,9,2,2,2,3,2,0,3,7,3,30,3,11,201,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,201,50
58.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,1,0,107,13,36,36,2,4,39,54,0,23,0,9,11,0,0,0,9,1,3,1,1,2,1,3,7,4,30,3,13,201,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,201,50
59.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,43,0,7,7,0,1,0,108,5,27,27,0,7,39,56,0,19,0,14,14,0,0,0,10,0,6,0,2,3,0,1,4,6,30,2,5,201,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,201,50
60.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,7,36,36,5,9,39,50,0,19,0,12,11,0,0,0,11,0,3,1,6,2,0,1,5,4,30,3,7,201,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,201,50
61.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,7,23,23,1,8,38,51,0,17,0,10,11,0,0,0,11,3,4,1,4,2,1,2,4,3,30,1,7,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,201,50
62.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,8,27,27,1,6,39,49,0,22,0,11,16,0,0,0,12,4,5,2,2,4,2,3,9,2,30,2,8,201,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,201,50
63.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,5,17,17,1,9,39,54,0,21,0,16,18,0,0,0,8,3,5,2,2,4,2,3,7,0,30,1,5,201,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,201,50
64.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,39,0,11,11,0,0,0,108,10,30,30,1,6,39,57,0,21,0,18,13,0,0,0,5,3,3,0,4,2,0,3,8,5,30,4,10,201,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
65.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,3,24,24,1,8,39,57,0,24,0,12,15,0,0,0,6,2,2,0,1,1,0,2,7,6,30,1,3,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
66.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,8,24,24,1,4,37,55,0,25,0,10,17,0,0,0,7,3,1,1,6,0,1,4,9,3,30,2,8,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
67.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,9,27,27,2,7,40,56,0,22,0,6,15,0,0,0,4,4,2,1,5,1,1,4,6,6,30,1,9,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,201,50
68.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,39,0,11,11,1,0,0,108,11,26,26,0,4,38,55,0,21,0,12,13,0,0,0,6,5,5,2,0,2,1,3,5,3,30,2,11,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,201,50
69.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,38,0,12,12,0,0,0,108,5,31,31,3,4,40,52,0,22,0,19,16,0,0,0,7,4,5,2,1,4,2,4,10,3,30,2,5,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,201,50
70.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,39,0,11,11,0,0,0,108,9,31,31,3,9,38,53,0,19,0,10,13,0,0,0,7,3,2,1,2,1,1,4,8,4,30,2,9,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,201,50
71.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,1,0,0,108,5,33,33,1,5,40,51,0,22,0,13,15,0,0,0,11,3,4,1,2,2,0,3,6,4,30,2,5,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,201,50
72.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,9,30,30,2,5,37,51,0,21,0,13,13,0,0,0,10,3,1,1,1,1,1,2,6,5,30,3,9,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,201,50
73.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,5,25,25,0,3,38,56,0,26,0,17,16,0,0,0,7,3,4,1,0,2,0,1,7,2,30,2,5,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
74.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,9,32,32,1,8,37,54,0,20,0,4,17,0,0,0,7,4,3,2,4,0,1,1,6,3,30,2,9,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
75.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,6,22,22,0,7,38,55,0,21,0,6,15,0,0,0,6,5,4,2,3,1,2,2,7,9,30,3,6,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,201,50
76.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,7,39,39,2,3,38,56,0,21,0,16,11,0,0,0,4,4,3,1,1,2,1,2,8,3,30,2,7,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,201,50
77.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,7,25,25,1,7,38,56,0,17,0,10,9,0,0,0,6,3,2,2,4,1,2,2,5,4,30,2,7,201,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,201,50
78.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,1,0,108,7,34,34,1,3,39,58,0,29,0,10,20,0,0,0,4,3,5,0,4,2,0,2,8,7,30,2,7,201,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,201,50
79.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,1,0,107,8,33,33,1,8,36,59,0,16,0,8,14,0,0,0,3,3,3,1,3,1,0,2,7,7,30,4,8,201,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,201,50
80.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,15,40,40,2,6,38,58,0,26,0,9,15,0,0,0,4,2,3,0,1,2,0,2,6,3,30,3,15,201,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,201,50
