# Output of 'KaSim' 'AMPA5_8020.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP_PSD_100.ka' '-l' '5000' '-p' '1' '-o' 'LTP_Slot_100.out' -seed 569314234
# "uuid" : "178451260"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
0.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,50,0,0,0,0,0,0,108,0,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,10,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
1.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,45,0,5,5,0,0,0,108,0,0,0,2,17,0,54,0,19,0,29,17,0,0,0,10,0,4,0,9,3,0,0,2,1,30,3,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
2.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,0,0,0,3,15,0,52,0,20,0,22,16,0,0,0,11,0,4,1,9,3,0,0,8,2,30,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
3.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,0,0,0,1,17,0,51,0,18,0,35,16,0,0,0,14,0,5,0,8,4,0,0,9,2,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
4.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,38,0,12,12,0,0,0,108,0,0,0,1,12,0,52,0,23,0,30,19,0,0,0,13,0,5,0,6,4,0,0,8,1,30,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
5.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,0,0,108,0,0,0,3,18,0,51,0,19,0,29,14,0,0,0,11,1,2,1,4,2,1,0,8,2,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
6.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,0,1,1,1,13,0,56,0,21,0,29,19,0,0,0,7,2,5,1,6,3,1,0,10,3,30,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
7.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,0,0,0,108,0,1,1,0,18,1,54,0,21,0,33,18,0,0,0,7,5,1,0,11,1,0,0,10,2,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
8.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,0,0,108,0,2,2,0,12,0,53,0,22,0,32,17,0,0,0,9,4,3,2,6,2,1,0,8,1,30,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
9.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,31,0,19,19,0,0,0,108,0,0,0,2,12,2,55,0,22,0,20,16,0,0,0,7,2,4,2,3,2,1,0,18,4,30,0,0,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
